DateTime,Hour,Session ID,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,Source_File,Start_Time
2023-05-21 02:30:00,3,6,02:30-02:45,5890.70,3694.10,3432.49,3432.49,6296.87,May%202023.xlsx,02:30
2023-05-27 16:15:00,17,33,16:15-16:30,5893.70,5097.40,3807.40,3807.4,5000.25,May%202023.xlsx,16:15
2023-05-23 06:45:00,7,14,06:45-07:00,5894.90,7041.10,4136.50,4136.5,5999.62,May%202023.xlsx,06:45
2023-05-04 19:15:00,20,39,19:15-19:30,5895.20,3475.20,3378.22,3378.23,7499.46,May%202023.xlsx,19:15
2023-05-18 10:00:00,11,21,10:00-10:15,5899.90,6863.90,3900.90,3900.9,4409.59,May%202023.xlsx,10:00
2023-05-19 06:15:00,7,13,06:15-06:30,5901.50,3543.20,3255.50,3255.5,8500.76,May%202023.xlsx,06:15
2023-05-09 14:45:00,15,30,14:45-15:00,5903.80,5079.30,3895.53,3895.52,5499.33,May%202023.xlsx,14:45
2023-05-05 12:00:00,13,25,12:00-12:15,5915.30,6694.90,4552.30,4552.3,3900.81,May%202023.xlsx,12:00
2023-05-06 20:30:00,21,42,20:30-20:45,5917.60,4378.30,3349.06,3349.05,6499.02,May%202023.xlsx,20:30
2023-05-21 04:30:00,5,10,04:30-04:45,5917.60,4502.40,2969.39,2969.39,5444.31,May%202023.xlsx,04:30
2023-05-17 04:00:00,5,9,04:00-04:15,5918.20,4721.00,3303.10,3303.1,6200.67,May%202023.xlsx,04:00
2023-05-18 03:45:00,4,8,03:45-04:00,5918.20,6804.20,5459.10,5459.1,2400.47,May%202023.xlsx,03:45
2023-05-22 20:15:00,21,41,20:15-20:30,5918.40,4943.10,2507.84,2507.84,9989.39,May%202023.xlsx,20:15
2023-05-09 14:00:00,15,29,14:00-14:15,5918.70,5533.70,4030.05,4030.05,4522.78,May%202023.xlsx,14:00
2023-05-23 06:30:00,7,14,06:30-06:45,5923.00,6572.10,4159.10,4159.1,6699.71,May%202023.xlsx,06:30
2023-05-21 04:45:00,5,10,04:45-05:00,5923.40,4375.50,2883.60,2883.6,5500.9,May%202023.xlsx,04:45
